date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2015-02-18,B0,24675024,26641008,24675024,26641008,0,0,1703,6892
2015-02-18,B1,24296469,26235126,24675024,26641008,95,8,1703,6892
2015-02-18,B2,24281775,26201460,24675024,26641008,95,8,1703,6892
2015-02-18,B3,24298295,26071008,24675024,26641008,95,9,1703,6892
2015-02-19,B0,26857871,28275521,26857871,28275521,0,0,2050,6892
2015-02-19,B1,26490149,27903521,26857871,28275521,95,6,2050,6892
2015-02-19,B2,26463793,27868188,26857871,28275521,95,7,2050,6892
2015-02-19,B3,26408866,27746544,26857871,28275521,95,13,2050,6892
2015-02-20,B0,22501051,24057630,22501051,24057630,0,0,1344,6892
2015-02-20,B1,22157590,23749630,22501051,24057630,95,9,1344,6892
2015-02-20,B2,22142090,23735630,22501051,24057630,95,10,1344,6892
2015-02-20,B3,22154279,23553644,22501051,24057630,95,12,1344,6892
2015-02-21,B0,18828870,20351439,18828870,20351439,0,0,724,6892
2015-02-21,B1,18557937,20035792,18828870,20336792,95,9,724,6892
2015-02-21,B2,18553204,20020126,18828870,20336792,95,10,724,6892
2015-02-21,B3,18561594,19976798,18828870,20336792,95,14,724,6892
2015-02-22,B0,17507087,18072217,17507087,18072217,0,0,462,6892
2015-02-22,B1,17274920,17838625,17507087,18040958,95,21,462,6892
2015-02-22,B2,17280454,17843958,17507087,18040958,95,23,462,6892
2015-02-22,B3,17292220,17744236,17507087,18002903,95,13,462,6892
2015-02-23,B0,18980966,20367618,18980966,20367618,0,0,764,6892
2015-02-23,B1,18769666,20098618,18980966,20367618,95,11,764,6892
2015-02-23,B2,18777900,20112284,18980966,20367618,95,12,764,6892
2015-02-23,B3,18732751,19950782,18980966,20367618,95,11,764,6892
2015-02-24,B0,18616643,19635117,18616643,19635117,0,0,681,6892
2015-02-24,B1,18405476,19432784,18616643,19635117,95,13,681,6892
2015-02-24,B2,18409143,19446451,18616643,19635117,95,13,681,6892
2015-02-24,B3,18374897,19192734,18616643,19635117,95,12,681,6892
2015-02-25,B0,18887079,20199752,18887079,20199752,0,0,779,6892
2015-02-25,B1,18679246,19990419,18887079,20199752,95,10,779,6892
2015-02-25,B2,18688113,19988752,18887079,20199752,95,11,779,6892
2015-02-25,B3,18651606,19668725,18887079,20199752,95,14,779,6892
2015-02-26,B0,18004929,19127299,18004929,19127299,0,0,638,6892
2015-02-26,B1,17825129,18896633,18004929,19127299,95,10,638,6892
2015-02-26,B2,17840662,18906633,18004929,19127299,95,12,638,6892
2015-02-26,B3,17793141,18756716,18004929,19105141,95,14,638,6892
2015-02-27,B0,18085204,19220087,18085204,19220087,0,0,604,6892
2015-02-27,B1,17891737,18992087,18085204,19220087,95,11,604,6892
2015-02-27,B2,17904637,19004754,18085204,19220087,95,13,604,6892
2015-02-27,B3,17860057,18849031,18085204,19220087,95,15,604,6892
2015-02-28,B0,18328826,19768472,18328826,19768472,0,0,680,6892
2015-02-28,B1,18110393,19575139,18328826,19768472,95,11,680,6892
2015-02-28,B2,18119893,19577139,18328826,19768472,95,12,680,6892
2015-02-28,B3,18114343,19285975,18328826,19768472,95,12,680,6892
2015-03-01,B0,18678394,19655192,18678394,19655192,0,0,713,6892
2015-03-01,B1,18456927,19468859,18678394,19655192,95,10,713,6892
2015-03-01,B2,18465461,19477192,18678394,19655192,95,13,713,6892
2015-03-01,B3,18396614,19277151,18678394,19655192,95,14,713,6892
2015-03-02,B0,21471311,23044629,21471311,23044629,0,0,1191,6892
2015-03-02,B1,21194606,22723058,21471311,23044629,95,8,1191,6892
2015-03-02,B2,21190273,22717058,21471311,23044629,95,9,1191,6892
2015-03-02,B3,21118710,22533147,21471311,23044629,95,12,1191,6892
2015-03-03,B0,20510157,21744025,20510157,21744025,0,0,1042,6892
2015-03-03,B1,20237624,21367083,20510157,21737416,95,11,1042,6892
2015-03-03,B2,20240824,21369052,20510157,21693718,95,11,1042,6892
2015-03-03,B3,20219742,21238305,20510157,21744025,95,14,1042,6892
2015-03-04,B0,20591909,22210556,20591909,22210556,0,0,1057,6892
2015-03-04,B1,20278739,21818889,20591909,22210556,95,9,1057,6892
2015-03-04,B2,20265939,21797889,20591909,22210556,95,10,1057,6892
2015-03-04,B3,20185469,21672036,20591909,22111369,95,11,1057,6892
2015-03-05,B0,19284076,20483854,19284076,20483854,0,0,808,6892
2015-03-05,B1,18990510,20145270,19284076,20450936,95,10,808,6892
2015-03-05,B2,18989876,20133936,19284076,20450936,95,12,808,6892
2015-03-05,B3,18966660,20016995,19284076,20460838,95,14,808,6892
2015-03-06,B0,18151457,18947574,18151457,18947574,0,0,634,6892
2015-03-06,B1,17929757,18735574,18151457,18947574,95,11,634,6892
2015-03-06,B2,17942791,18745574,18151457,18947574,95,13,634,6892
2015-03-06,B3,17879413,18599109,18151457,18947574,95,16,634,6892
2015-03-07,B0,17844374,18808334,17844374,18808334,0,0,627,6892
2015-03-07,B1,17647159,18598187,17844374,18808334,95,12,627,6892
2015-03-07,B2,17655992,18582521,17844374,18808334,95,13,627,6892
2015-03-07,B3,17603659,18415169,17844374,18808334,95,16,627,6892
2015-03-08,B0,17738914,18696212,17738914,18696212,0,0,548,6892
2015-03-08,B1,17507147,18342878,17738914,18696212,95,13,548,6892
2015-03-08,B2,17519047,18347545,17738914,18696212,95,14,548,6892
2015-03-08,B3,17519800,18270632,17738914,18582815,95,11,548,6892
2015-03-09,B0,17674354,18520585,17674354,18520585,0,0,539,6892
2015-03-09,B1,17432588,18251585,17674354,18520585,95,15,539,6892
2015-03-09,B2,17449421,18270585,17674354,18520585,95,17,539,6892
2015-03-09,B3,17412247,18183923,17674354,18452256,95,10,539,6892
2015-03-10,B0,17488041,18524291,17488041,18524291,0,0,506,6892
2015-03-10,B1,17266641,18258957,17488041,18524291,95,14,506,6892
2015-03-10,B2,17277775,18263624,17488041,18524291,95,18,506,6892
2015-03-10,B3,17256944,18111230,17488041,18524291,95,14,506,6892
2015-03-11,B0,17656566,18782421,17656566,18782421,0,0,484,6892
2015-03-11,B1,17449766,18517961,17656566,18737961,95,13,484,6892
2015-03-11,B2,17465166,18541295,17656566,18737961,95,16,484,6892
2015-03-11,B3,17440567,18420293,17656566,18782421,95,13,484,6892
2015-03-12,B0,16768590,18123614,16768590,18123614,0,0,343,6892
2015-03-12,B1,16549952,17891947,16768590,18123614,95,16,343,6892
2015-03-12,B2,16566419,17902947,16768590,18123614,95,20,343,6892
2015-03-12,B3,16559933,17772335,16768590,18123614,95,12,343,6892
2015-03-13,B0,16967887,18241738,16967887,18241738,0,0,390,6892
2015-03-13,B1,16785087,18013738,16967887,18241738,95,18,390,6892
2015-03-13,B2,16804220,18029071,16967887,18241738,95,20,390,6892
2015-03-13,B3,16765362,17791826,16967887,18241738,95,11,390,6892
2015-03-14,B0,16894417,17880008,16894417,17880008,0,0,417,6892
2015-03-14,B1,16704817,17657341,16894417,17880008,95,18,417,6892
2015-03-14,B2,16720084,17662008,16894417,17880008,95,22,417,6892
2015-03-14,B3,16704818,17506116,16894417,17821258,95,12,417,6892
2015-03-15,B0,18267959,19641824,18267959,19641824,0,0,630,6892
2015-03-15,B1,18012825,19264157,18267959,19641824,95,10,630,6892
2015-03-15,B2,18018192,19263490,18267959,19641824,95,11,630,6892
2015-03-15,B3,18001562,19173193,18267959,19641824,95,10,630,6892
2015-03-16,B0,19062306,20279028,19062306,20279028,0,0,791,6892
2015-03-16,B1,18793067,19985509,19062306,20279028,95,9,791,6892
2015-03-16,B2,18796134,19988509,19062306,20279028,95,10,791,6892
2015-03-16,B3,18768343,19781909,19062306,20279028,95,12,791,6892
2015-03-17,B0,18623378,19807856,18623378,19807856,0,0,709,6892
2015-03-17,B1,18372178,19502075,18623378,19799408,95,9,709,6892
2015-03-17,B2,18378278,19512075,18623378,19799408,95,11,709,6892
2015-03-17,B3,18342239,19435825,18623378,19807856,95,13,709,6892
2015-03-18,B0,17525367,18369629,17525367,18369629,0,0,516,6892
2015-03-18,B1,17332967,18172109,17525367,18360109,95,15,516,6892
2015-03-18,B2,17345600,18187442,17525367,18360109,95,17,516,6892
2015-03-18,B3,17300648,17974664,17525367,18369629,95,15,516,6892
2015-03-19,B0,18835853,19996579,18835853,19996579,0,0,733,6892
2015-03-19,B1,18553320,19612912,18835853,19996579,95,11,733,6892
2015-03-19,B2,18556453,19629246,18835853,19996579,95,11,733,6892
2015-03-19,B3,18526684,19535912,18835853,19996579,95,13,733,6892
2015-03-20,B0,20249700,21873630,20249700,21873630,0,0,983,6892
2015-03-20,B1,19964600,21561963,20249700,21873630,95,8,983,6892
2015-03-20,B2,19964333,21551630,20249700,21873630,95,9,983,6892
2015-03-20,B3,19948907,21382363,20249700,21873630,95,13,983,6892
2015-03-21,B0,21714182,23243640,21714182,23243640,0,0,1210,6892
2015-03-21,B1,21430049,23019306,21714182,23243640,95,7,1210,6892
2015-03-21,B2,21428382,23025640,21714182,23243640,95,7,1210,6892
2015-03-21,B3,21377154,22686407,21714182,23157740,95,13,1210,6892
2015-03-22,B0,20503130,22171895,20503130,22171895,0,0,1010,6892
2015-03-22,B1,20197778,21881019,20503130,22171895,95,10,1010,6892
2015-03-22,B2,20197578,21872352,20503130,22171895,95,11,1010,6892
2015-03-22,B3,20167235,21622623,20503130,22171895,95,17,1010,6892
2015-03-23,B0,19344959,20912006,19344959,20912006,0,0,809,6892
2015-03-23,B1,19077059,20645672,19344959,20912006,95,11,809,6892
2015-03-23,B2,19078092,20630006,19344959,20912006,95,14,809,6892
2015-03-23,B3,19062320,20401318,19344959,20912006,95,12,809,6892
2015-03-24,B0,19373342,20472730,19373342,20472730,0,0,827,6892
2015-03-24,B1,19092717,20163730,19373342,20472730,95,12,827,6892
2015-03-24,B2,19098750,20153396,19373342,20472730,95,12,827,6892
2015-03-24,B3,19097241,20044419,19373342,20472730,95,16,827,6892
2015-03-25,B0,19872404,21397094,19872404,21397094,0,0,888,6892
2015-03-25,B1,19594471,21074903,19872404,21370569,95,11,888,6892
2015-03-25,B2,19597537,21072569,19872404,21370569,95,13,888,6892
2015-03-25,B3,19615458,20971244,19872404,21370569,95,12,888,6892
2015-03-26,B0,19140733,20248906,19140733,20248906,0,0,814,6892
2015-03-26,B1,18937433,19999573,19140733,20248906,95,13,814,6892
2015-03-26,B2,18946900,19991906,19140733,20248906,95,14,814,6892
2015-03-26,B3,18899856,19801206,19140733,20248906,95,13,814,6892
2015-03-27,B0,18665166,19897978,18665166,19897978,0,0,726,6892
2015-03-27,B1,18422199,19602312,18665166,19897978,95,12,726,6892
2015-03-27,B2,18430899,19599978,18665166,19897978,95,13,726,6892
2015-03-27,B3,18407866,19441099,18665166,19897978,95,12,726,6892
2015-03-28,B0,17779870,18918550,17779870,18918550,0,0,597,6892
2015-03-28,B1,17557920,18633550,17779870,18918550,95,12,597,6892
2015-03-28,B2,17568387,18631217,17779870,18918550,95,13,597,6892
2015-03-28,B3,17541323,18486999,17779870,18918550,95,14,597,6892
2015-03-29,B0,17898620,18777121,17898620,18777121,0,0,553,6892
2015-03-29,B1,17637887,18470131,17898620,18743464,95,14,553,6892
2015-03-29,B2,17646487,18488131,17898620,18743464,95,15,553,6892
2015-03-29,B3,17616216,18390154,17898620,18720154,95,15,553,6892
2015-03-30,B0,17442801,18338780,17442801,18338780,0,0,500,6892
2015-03-30,B1,17183795,18031150,17442801,18272483,95,15,500,6892
2015-03-30,B2,17182562,18048780,17442801,18338780,95,16,500,6892
2015-03-30,B3,17201635,17939968,17442801,18338780,95,13,500,6892
